epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1222.03,1.31771,0.94626,0.00905,0.72786,0.55286,0.58684,0.37625,1.62287,1.77868,0.01103,0.00111414,0.00111414,0.00111414
69,1239.71,1.27672,0.90774,0.00859,0.71111,0.52922,0.58721,0.37708,1.61847,1.65106,0.01083,0.00110589,0.00110589,0.00110589
70,1258.81,1.29639,0.98304,0.00892,0.71509,0.57754,0.6004,0.38098,1.5943,1.70263,0.01079,0.00109764,0.00109764,0.00109764
71,1276.43,1.29892,0.92668,0.00909,0.71976,0.55088,0.60716,0.38859,1.59539,1.6159,0.01078,0.00108938,0.00108938,0.00108938
72,1294.19,1.32872,0.93549,0.00879,0.71428,0.56509,0.60994,0.39862,1.55887,1.5918,0.01026,0.00108113,0.00108113,0.00108113
73,1311.81,1.24312,0.85898,0.00853,0.73624,0.55911,0.61269,0.39223,1.59711,1.57069,0.01065,0.00107288,0.00107288,0.00107288
74,1329.51,1.2751,0.88853,0.00878,0.70362,0.56279,0.60637,0.37955,1.63934,1.66114,0.01123,0.00106463,0.00106463,0.00106463
75,1347.11,1.3076,0.94453,0.00847,0.73277,0.55767,0.60457,0.39274,1.57925,1.68613,0.0105,0.00105638,0.00105638,0.00105638
76,1365.32,1.27523,0.89542,0.00895,0.67946,0.5619,0.58825,0.38353,1.5908,1.77791,0.01043,0.00104813,0.00104813,0.00104813
77,1383.19,1.29314,0.92737,0.00853,0.72218,0.54298,0.60002,0.38832,1.55551,1.69153,0.01051,0.00103987,0.00103987,0.00103987
78,1400.76,1.27343,0.8838,0.00868,0.73771,0.54289,0.61592,0.406,1.57844,1.70962,0.01038,0.00103162,0.00103162,0.00103162
79,1418.58,1.24784,0.87768,0.00793,0.67523,0.58387,0.59468,0.37505,1.61355,1.71392,0.01085,0.00102337,0.00102337,0.00102337
